,stacked,name,annoline1,annoline3,objectid,annoangle,annoline2,borough,geometry,voronoi_polygon,neighbours
0,2,High  Bridge,High,,20,0.0,Bridge,Bronx,"POLYGON ((-73.93674487650678 40.82802997548876, -73.94171908681987 40.83704167572478, -73.92922188136619 40.84587357606375, -73.92284838204289 40.84223853302289, -73.92013589856967 40.83864359657513, -73.92212474199364 40.8297054826358, -73.93026241190269 40.82265829911985, -73.93674487650678 40.82802997548876))","POLYGON ((-73.93674487650678 40.82802997548876, -73.94171908681987 40.83704167572478, -73.92922188136619 40.84587357606375, -73.92284838204289 40.84223853302289, -73.92013589856967 40.83864359657513, -73.92212474199364 40.8297054826358, -73.93026241190269 40.82265829911985, -73.93674487650678 40.82802997548876))","[27, 29, 31]"
1,1,Bay Ridge,Bay Ridge,,47,0.0,,Brooklyn,"POLYGON ((-74.05398561017704 40.63793534592013, -74.04551320994734 40.65946140288281, -74.04216563795629 40.65827625276506, -74.01858642027221 40.63347222771785, -74.02659962525225 40.61970586316007, -74.05078368131431 40.62268357184416, -74.0529176544982 40.63065021489123, -74.05399614002772 40.63749341281335, -74.05398561017704 40.63793534592013))","POLYGON ((-74.05398561017704 40.63793534592013, -74.04551320994734 40.65946140288281, -74.04216563795629 40.65827625276506, -74.01858642027221 40.63347222771785, -74.02659962525225 40.61970586316007, -74.05078368131431 40.62268357184416, -74.0529176544982 40.63065021489123, -74.05399614002772 40.63749341281335, -74.05398561017704 40.63793534592013))",[2]
2,2,Sunset Park,Sunset,,49,0.0,Park,Brooklyn,"POLYGON ((-74.01858642027221 40.63347222771785, -74.04216563795629 40.65827625276506, -74.0053657674966 40.6611620802032, -73.99745975304116 40.65680834021959, -73.99479806864024 40.65001128627615, -73.99497057573802 40.64811597939753, -74.00638046090654 40.62922921487366, -74.01858642027221 40.63347222771785))","POLYGON ((-74.01858642027221 40.63347222771785, -74.04216563795629 40.65827625276506, -74.0053657674966 40.6611620802032, -73.99745975304116 40.65680834021959, -73.99479806864024 40.65001128627615, -73.99497057573802 40.64811597939753, -74.00638046090654 40.62922921487366, -74.01858642027221 40.63347222771785))","[1, 7, 8, 15]"
3,1,Greenpoint,Greenpoint,,50,0.0,,Brooklyn,"POLYGON ((-73.94424872211781 40.73653064666704, -73.94015644847454 40.72387686806311, -73.94634829466413 40.71948930225722, -73.96437832679615 40.72484463841548, -73.96388491400762 40.73708513092959, -73.94424872211781 40.73653064666704))","POLYGON ((-73.94424872211781 40.73653064666704, -73.94015644847454 40.72387686806311, -73.94634829466413 40.71948930225722, -73.96437832679615 40.72484463841548, -73.96388491400762 40.73708513092959, -73.94424872211781 40.73653064666704))","[23, 24, 73, 76]"
5,1,Flatbush,Flatbush,,55,0.0,,Brooklyn,"POLYGON ((-73.97200876450981 40.62990868679947, -73.97026529922496 40.63624797780903, -73.94845545005528 40.64399955600944, -73.94552907873756 40.63189733112583, -73.97200876450981 40.62990868679947))","POLYGON ((-73.97200876450981 40.62990868679947, -73.97026529922496 40.63624797780903, -73.94845545005528 40.64399955600944, -73.94552907873756 40.63189733112583, -73.97200876450981 40.62990868679947))",[7]
6,2,Crown Heights,Crown,,56,0.0,Heights,Brooklyn,"POLYGON ((-73.93880972363543 40.67868800555691, -73.93554301005751 40.66878853081312, -73.94638616652571 40.66209082957076, -73.95507706113752 40.67022025895594, -73.95237790910026 40.67993402878727, -73.93880972363543 40.67868800555691))","POLYGON ((-73.93880972363543 40.67868800555691, -73.93554301005751 40.66878853081312, -73.94638616652571 40.66209082957076, -73.95507706113752 40.67022025895594, -73.95237790910026 40.67993402878727, -73.93880972363543 40.67868800555691))","[9, 11, 20, 79]"
7,1,Kensington,Kensington,,58,0.0,,Brooklyn,"POLYGON ((-73.97573893364475 40.62716793794388, -73.99497057573802 40.64811597939753, -73.99479806864024 40.65001128627615, -73.97276159128559 40.64948518245938, -73.97059052305349 40.6411287496888, -73.97026529922496 40.63624797780903, -73.97200876450981 40.62990868679947, -73.97328131056553 40.62817826447729, -73.97573893364475 40.62716793794388))","POLYGON ((-73.97573893364475 40.62716793794388, -73.99497057573802 40.64811597939753, -73.99479806864024 40.65001128627615, -73.97276159128559 40.64948518245938, -73.97059052305349 40.6411287496888, -73.97026529922496 40.63624797780903, -73.97200876450981 40.62990868679947, -73.97328131056553 40.62817826447729, -73.97573893364475 40.62716793794388))","[2, 5, 8, 22]"
8,2,Windsor Terrace,Windsor,,59,0.0,Terrace,Brooklyn,"POLYGON ((-73.99479806864024 40.65001128627615, -73.99745975304116 40.65680834021959, -73.98638958208778 40.66617233425586, -73.96776875677064 40.66251094829578, -73.96754293843719 40.65865462834756, -73.97276159128559 40.64948518245938, -73.99479806864024 40.65001128627615))","POLYGON ((-73.99479806864024 40.65001128627615, -73.99745975304116 40.65680834021959, -73.98638958208778 40.66617233425586, -73.96776875677064 40.66251094829578, -73.96754293843719 40.65865462834756, -73.97276159128559 40.64948518245938, -73.99479806864024 40.65001128627615))","[2, 7, 15, 16, 20, 22]"
9,2,Prospect Heights,Prospect,,60,0.0,Heights,Brooklyn,"POLYGON ((-73.95237790910026 40.67993402878727, -73.95507706113752 40.67022025895594, -73.9669708168841 40.66378253301205, -73.9729217170223 40.67989803120539, -73.96514277504146 40.68524559856705, -73.95556023871417 40.68698828650058, -73.95237790910026 40.67993402878727))","POLYGON ((-73.95237790910026 40.67993402878727, -73.95507706113752 40.67022025895594, -73.9669708168841 40.66378253301205, -73.9729217170223 40.67989803120539, -73.96514277504146 40.68524559856705, -73.95556023871417 40.68698828650058, -73.95237790910026 40.67993402878727))","[6, 11, 16, 17, 20]"
10,1,Bushwick,Bushwick,,63,0.0,,Brooklyn,"POLYGON ((-73.90949747199389 40.69423599438405, -73.92350458962932 40.68557484949351, -73.92979234411939 40.68701165351585, -73.93660100250833 40.69734984753821, -73.92009885261835 40.71897915353611, -73.90949747199389 40.69423599438405))","POLYGON ((-73.90949747199389 40.69423599438405, -73.92350458962932 40.68557484949351, -73.92979234411939 40.68701165351585, -73.93660100250833 40.69734984753821, -73.92009885261835 40.71897915353611, -73.90949747199389 40.69423599438405))","[11, 21, 23, 60, 79]"
