,bathrooms,bedrooms,interest_level,num_photos,num_features,num_description_words,created_month,created_day,neighbourhood,price
4,1.0,1,medium,12,7,77,6,16,South Side,2400
10,1.5,3,medium,5,0,95,6,24,East Williamsburg,3000
32,3.0,3,low,11,2,205,6,28,Brooklyn Heights,6850
43,1.0,0,low,10,1,75,6,20,Williamsburg,3150
93,1.0,3,high,9,1,60,6,4,Sunset Park,2200
101,1.0,2,low,13,3,9,6,12,Ditmas Park,2475
106,2.0,3,low,8,8,183,6,24,Crown Heights,3050
111,1.0,3,medium,9,3,23,6,19,Bushwick,2400
133,3.0,4,low,12,5,107,6,16,Bushwick,4200
161,2.0,3,high,8,4,44,6,3,Crown Heights,2850
182,1.0,1,low,3,1,1,6,29,Windsor Terrace,2050
262,1.0,2,low,12,5,85,6,5,Prospect Lefferts Gardens,2550
293,2.0,2,low,8,14,114,6,21,Downtown,3895
295,1.0,3,medium,12,4,62,6,28,Park Slope,3200
320,1.0,1,high,8,4,67,6,28,Brooklyn Heights,2100
322,1.0,3,low,7,3,49,6,16,Park Slope,4600
343,1.0,1,low,4,5,58,6,27,Downtown,2950
362,0.0,3,low,0,0,9,6,12,Ridgewood,2400
377,1.0,1,medium,6,5,119,6,23,Boerum Hill,2195
390,1.0,1,low,15,2,48,6,12,Ocean Hill,2395
393,1.0,1,high,6,3,117,6,28,Park Slope,2600
396,1.0,2,low,4,3,46,6,13,Brooklyn Heights,2600
445,2.0,3,medium,6,14,79,6,15,Bushwick,2798
465,2.0,2,low,37,4,168,6,12,Downtown,4590
472,1.0,2,medium,13,3,121,6,29,South Side,3025
500,1.0,1,low,0,2,1,6,8,Bedford Stuyvesant,2550
509,1.0,0,low,7,4,89,6,21,Dumbo,3156
529,1.0,1,low,1,3,22,6,25,Prospect Heights,2050
535,1.0,1,high,1,3,109,6,9,Park Slope,1950
598,2.0,2,low,1,5,112,6,17,Boerum Hill,4370
614,1.0,1,medium,4,2,86,6,12,Park Slope,2550
623,2.0,4,low,0,2,107,6,27,Prospect Lefferts Gardens,4495
645,1.0,1,low,0,5,136,6,9,South Side,3025
651,1.0,0,medium,14,3,32,6,21,Kensington,1675
656,2.0,2,low,7,14,134,6,20,Clinton Hill,5025
662,1.0,0,medium,3,2,20,6,21,Prospect Heights,1825
666,1.0,1,low,6,3,53,6,4,North Side,2850
674,1.0,2,low,8,6,53,6,28,Williamsburg,3700
685,1.0,0,low,4,2,9,6,17,Prospect Heights,1825
696,1.0,2,low,0,0,21,6,12,Bushwick,2700
705,1.0,2,high,4,3,35,6,29,Flatbush,1800
